artist,track,lyrics
Ken Carson,Jennifer’s Body,"137 ContributorsTranslationsPortugusJennifers Body LyricsJennifers Body marks the second track to Ken Carsons third studio album, A Great Chaos. The highly-anticipated track was first teased on May 31, 2023, during a live Instagram session, where Ken previewed Read More  Fuck  Two things I ain't ever seen A nigga that beat a gun and a bitch I need If I go broke, I'm takin' your funds, yeah, bitch, I need it Gave you the whole book on how to get rich and you ain't even read it Jennifer's Body, my bitch is a hottie, my bitch is a boy eater She don't even want no food, this dick the only thing I feed her This bitch a thot, ain't no way, huh, I'ma keep her I made a hunnid K in a hunnid ways, 'cause that's what I keep it Keep it a hunnid  I go dumb 'bout my money And my trap jump like bungee Flew her out to the Saint, I ain't talkin' Laurent This ain't no facade, baby girl, I don't do no stunts You know I came far, huh, huh, I ain't have nothin' I ain't had shit lil' bitch, my pockets had lint and dust Now I put that shit on every day, bitch, it's a must He ain't puttin' shit on, he just wanna dress like us That's why I'm fuckin' on his ho, I'm makin' her cuss I'm all in that bitch throat, huh, I'm 'bout to bust These niggas, huh, gettin' old, these niggas get rusty I was on the south side of Atlanta with Lil 88, that's my cousin They ask me why I'm clutchin', 'cause them niggas over there muggin' Diamonds on my teeth, lil' bitch, I ain't smilin' for nothin' VV-VV-VV's on my body and I know they bustin' CC, BB, GG on her body, uh, that's my slut Two things I ain't ever seen, a nigga that wont die and a bitch that I ain't gon' fuck  Two things I ain't ever seen A nigga that beat a gun and a bitch I need If I go broke, I'm takin' your funds, yeah, bitch, I need it Gave you the whole book on how to get rich and you ain't even read it Jennifer's Body, my bitch is a hottie, my bitch is a boy eater She don't even want no food, this dick the only thing I feed her This bitch a thot, ain't no way, huh, I'ma keep her I made a hundred K in a hundred ways, 'cause that's what I keep it Keep it a hunnid"
Ken Carson,ss,"91 ContributorsTranslationsss Lyrics Huh Huh, huh, huh, huh Huh, huh, huh, huh, huh, huh, huh Huh, huh, huh, huh, huh, huh, huh  Promethazine habit, lean habit, codeine habit Kickstand, yeah, biker, yeah, yeah, I'm leanin' I chop the top off the McLaren, this ain't no Lamborghini My white ho got big titties, she remind me of Sydney Sweeney Sydney Sweeney, Sydney Sweeney I rock that stick like it's a purse, yeah, my chopper swingin' Like Sydney Sweeney, my stick have them titties underneath Like Sydney Sweeney, my bitch titties big like double D Emergency, emergency Shawty just threw it back, she tryna hurt me Yeah, yeah, yeah, shawty just threw it back, she tryna birth one But I'm way too rich, yeah, for this bitch, no, I can't birth none My swag way too sick, I need an IV, yeah, yeah Cs in my pocket, but we throwin' Bs over here I got designer habits, I got designer habits, I can't stop I was fuckin' on your bitch in my Rick Owens socks I was fuckin' on your bitch in my Rick Owens socks I was fuckin' on your bitch in my Rick Owens socks I was fuckin' on your bitch in my Rick Owens socks My Rick Owens socks, my Rick Owens socks, yeah   I'm off the G6, they don't know if I'm talkin' 'bout the pill or the plane Iced out my mouth, went Alex Moss, I don't know none 'bout Johnny Dang I got unlimited jewelry, I put a X on my chain She got unlimited pussy, I'm 'bout to fuck her for hours Switched up my flow, he can't keep up, that boy career goin' sour Paris Fashion Week, she wanna fuck at the Eiffel Tower Paris Fashion Week, a model ho 'bout to get devoured She say she like my aesthetic, all gas, no brakes, I'm unleaded If I fuck with you, then we locked in, yeah, we dreaded She fuckin' with me, yeah, she rubbin', yeah, her hand through my dreads Ain't repeatin' shit after I speak, bitch, I mean what I said I can buy fifteen Richie Mills, why would I cop a Rolex?"
Ken Carson,Fighting My Demons,"120 ContributorsTranslationsDeutschPortugusFighting My Demons LyricsFighting My Demons sees Ken Carson explore themes of personal struggles, addiction, and self-destructive behavior, all while matching the energy of a bass-heavy instrumental. The first half, previously Read More   Where the fuck my blunt? Where the fuck my cup? Where the fuck my reef?  Huh, huh, huh, huh, huh, huh I'm smokin' on Kush Huh, huh, huh, huh, huh, huh I'm smokin' on Kush Huh, huh, huh, huh, huh, huh You know I'm a chiefer Huh, huh, huh, huh, huh, huh You know I'm a chiefer I'm flyin' just like a eagle Bitch cryin', I don't need her .45, long heater Hellcat big, two-seater This bitch said she was hungry, this dick what I feed her I'm on the block servin' entrees, yeah, three-fives a reefer Yeah, yeah, you know I'ma keep 'em Huh, huh, and I be chiefin' All these hoes some eaters, huh, huh, they be eatin' Cut the lights off, we gon' pull up creepin' We got four sticks, we four deep, in the four-door Jeep My boy trigger finger itchin', leave your brains on the seat My trigger finger itchin', I feel like D-Wade with the Heat Made him do the runnin' man, we sent some runnin' shots at his feet I pop X, I pop X, yeah, yeah, I'm geeked She pop X, she pop X, yeah, yeah, she sleep Cullinan Rolls Royce, I'm 'bout to pull up to a meet Let's play Russian roulette, bitch, who gon' die first? You or me?  You or me? (Let's play Russian roulette, bitch, who gon' die first?) You or me? You or me? (Let's play Russian roulette, bitch, who gon' die first, you or me?) (Yeah)   (star made the beat, I just took it out the oven) Yeah  I been fighting my demons, huh I been fighting my, yeah I been fighting my demons, huh I been fighting my, yeah I been fighting my demons, huh I been fighting my, huh I been fighting my demons, huh I been fighting my, huh, huh I been fighting my demons, yeah I been fighting my, huh, huh I been fighting my demons, yeah I been fighting my, yeah I been fighting my demons, yeah I been fighting my, huh I been fighting my demons, huh-yeah"
Ken Carson,i need u,"96 ContributorsTranslationsi need u LyricsOn i need u, the lead single and closing track of Ken Carsons A Great Chaos, Carson exhibits his unrequited love for his partner, while simultaneously flaunting his lavish lifestyle. The track was first Read More  Yeah, yeah  Yeah, me and my bitch, we be off them drugs We match everythin', yeah, 'cause we in love I fucked your bitch, huh, 'cause you a scrub And you not gang, you a lame, you a dub I kicked that lil' bitch off my roster, huh, huh, I need a sub They stealin' my swag and they follow, yeah, yeah, these niggas suck On a dark day-ay, I need ya When we part ways, ayy, I need ya Ayy, yeah, I need you  Like oxygen, without you, baby girl, I can't breathe I been showin' off my pain lately, I tatted up my sleeve, yeah Balenciaga my jeans, yeah Rick Owens still on my tee, yeah SRT, a red key, yeah These niggas ain't fuckin' with me These niggas can't fuck with me if they was a baddie With a fatty, give a fuck about a bad bitch I'll turn your favorite rapper, yeah, into ashes Watch his body drop through my Balenciaga glasses Don't talk about that bitch no more, if you don't see me with her, she past tense These niggas stopped flexin' on Instagram, where yo' racks went? Where yo' racks go? Oh, you spent it on hoes, money, drugs, and clothes I'm 'bout to make three hunnid K this week, I got like, three shows And I get a hunnid K each, and I keep a pound, huh, and a pint on me And a couple rounds, yeah, bitch, I keep it lowkey I do the dash, uh-huh, all these niggas on E Off this ecstasy, yeah, bitch, I'm on E Yeah, bitch, I'm in this bih' with Destroy Lonely Bad bitch, she tryna put that huh-huh, on me Huh-huh, on me, huh-huh, on me Huh-huh, on me, huh-huh, on me (Yeah) Huh-huh, on me (Yeah), yeah-yeah  Yeah, me and my bitch, we be off them drugs We match everythin', yeah, 'cause we in love I fucked your bitch, huh, 'cause you a scrub And you not gang, you a lame, you a dub I kicked that lil' bitch off my roster, huh, huh, I need a sub They stealin' my swag and they follow, yeah, yeah, these niggas suck On a dark day-ay, I need ya When we part ways, ayy, I need ya Ayy, yeah, I need you"
Ken Carson,overseas,"111 ContributorsTranslationsPortugusEspaoloverseas Lyricsoverseas, by Ken Carson is a track where Ken portrays a sense of hedonism, materialism, and bravado. All while matching the energy of a ethereal, rage-like, bass-heavy instrumental produced by the likes of Read More  London, Paris, Amsterdam, yeah, I'm overseas She gon' suck my soul out me, yeah, she on her knees Inhale, exhale, yeah, breathe 12 ask me, ""What's that smell?"" Yeah, weed I ain't leavin' no paper trail, yeah, this shit free Overlapped them niggas, hell yeah, I'm in the lead You ain't nothin' like me, you don't bleed what I bleed Put the blick down, I'll beat yo' ass just like Creed  She don't know nothin' 'bout me, I'm 'bout to turn her to a freak My dick her Nyquil, I'm 'bout to fuck this bitch to sleep I'm the reason you got double B on yo' feet Ain't gotta ask if I'm good, I'm Gucci, yeah, I'm doubl G I wish I could go back in time to tell myself, ""Your nck gon' freeze"" I wish I could go back in time to tell myself, ""Don't change a thing"" I wish I could go back in time to meet you way before I did I wish I could go back in time to tell myself, ""You gon' be rich"" When I'm in Miami, I feel like LeBron, number 6 Every day I wake up, I'm feelin' myself like Bey and Nicki I just bit her, yeah, I just bit her, I gave her a hick' I take her shoppin' all the time, but that's my girl so I ain't trippin' I'm in London, I just left Harrods and Selfridges That boy repeat everything he hear like a parrot, he a bitch The last bitch I broke up with slit her wrist I'm trollin', I just treat her like she no longer exists  London, Paris, Amsterdam, yeah, I'm overseas She gon' suck my soul out me, yeah, she on her knees Inhale, exhale, yeah, breathe 12 ask me, ""What's that smell?"" Yeah, weed I ain't leavin' no paper trail, yeah, this shit free Overlapped them niggas, hell yeah, I'm in the lead You ain't nothin' like me, you don't bleed what I bleed Put the blick down, I'll beat yo' ass just like Creed"
Ken Carson,Paranoid,"110 ContributorsTranslationsParanoid LyricsParanoid, previously dubbed Kel-Tec by fans, is a highly-anticipated song featuring frequent collaborator and labelmate Destroy Lonely. The song was first previewed in an Instagram live on December 11 Read More  (Wake up, F1LTHY) Huh Huh, huh, huh, huh  And the Kel-Tec'll make a nigga flip like gymnastics I fuck Barbie bitches, yeah, yeah, all my hoes plastic All my hoes know how to act, all my hoes classy All my hoes fuck me like they life on the line She fuckin' with the gang, yeah, she know every gang sign If I call her, she gon' pull up, yeah, every time I got one in the head, yeah, of my .9 I'm paranoid, I'll take your life, yeah, before you take min Yeah, I'm paranoid  Yeah, I'm paranoid I got white diamonds and thy colder than Illinois I like freak hoes, they ain't fuckin' with y'all boys I do free throws, I've been ballin' with no court Lil' nigga, be quiet, you ain't makin' no noise And my weed way louder than a speaker, lil' boy Lil' shawty tryna fuck on me 'cause she know I been the boy I been havin' cash, I been gettin' money, yeah, boy I'm in a Trackhawk, I do supercharging to it My FN souped-up, this is not a toy And I need my money first, before you proceed to move forward And I got your ho on her knees, 'cause she know she just met the Lord  And the Kel-Tec'll make a nigga flip like gymnastics I fuck Barbie bitches, yeah, yeah, all my hoes plastic All my hoes know how to act, all my hoes classy All my hoes fuck me like they life on the line She fuckin' with the gang, yeah, she know every gang sign If I call her, she gon' pull up, yeah, every time I got one in the head, yeah, of my .9 I'm paranoid, I'll take your life, yeah, before you take mine Yeah, I'm paranoid"
Ken Carson,mewtwo,"63 ContributorsTranslationsEspaolmewtwo Lyrics Yeah, if money was Cocoa Puffs, huh, I'd go cuckoo She said she feel the same way 'bout me, she delulu I caught her like a Pokmon, my bitch built like Mewtwo At first, we ain't really click, now you logged in on my Hulu I got you sideline at my shows, used to watch my shit on YouTube I'm your biggest fan, I support whatever you do I can teach you how to get those bands, but you gotta listen, yeah, hear what I'm sayin'  Don't trip if I go ghost, uh-huh, I'm workin', I'm locked in Don't trip if I don't post, I live my life on private Phone on silent I can feel the pressure, yeah, I'm 'bout to make a diamond She can feel the prssure, yeah, I'm beatin' out hr linin' Yeah, I'm gettin' violent You'd think I had her in submission, she tap out every time I'm just bein' honest, tellin' the truth, these niggas be lyin' I'ma show you real love, I ain't just gon' put you in designer Ain't no switchin' up, yeah, you forever mine This a dirty cup, yeah, I just poured four lines You just wanna celebrate, you don't wanna grind I work hard 'cause hard work beat talent, yeah, every time So I been in the studio all night From 12 a.m., to 12 p.m., 'bout to get my rhymes right It's about what you do when nobody lookin', fuck the limelight I ain't movin' dumb, I ain't tryna get booked, I don't need no crime fight  Yeah, if money was Cocoa Puffs, huh, I'd go cuckoo She said she feel the same way 'bout me, she delulu I caught her like a Pokmon, my bitch built like Mewtwo At first, we ain't really click, now you logged in on my Hulu I got you sideline at my shows, used to watch my shit on YouTube I'm your biggest fan, I support whatever you do I can teach you how to get those bands, but you gotta listen, yeah, hear what I'm sayin'"
Ken Carson,Succubus,"85 ContributorsTranslationsLietuviSuccubus Lyrics (Wake up) Yeah-ah, yeah-ah Yeah-ah, yeah, yeah, uh Yeah-ah  My emo bitch like to slit her wrists, yeah, she's so dark She was moving too fast, I had to put that bitch in park She said Boy, don't start with me, but I already started How you let your ex drive you crazy, and he ain't got no car? Yeah-ah If there's a Heaven, this bitch going to Hell This bitch a succubus, she suck me, yeah Yeah-ah, yeah  I'm off the shits right now, these drugs got me talking sideways I can't control myself, I'm doing the opposite of what my mind say I can't find the exit, huh, huh, I'm on th highway But I just found a bitch that'll let me help hr, yeah, my way My way, that mean that bitch do whatever I say Bitch, I'm not Tom, but I need my space, my space, yeah Don't be afraid, if you wanna leave, don't let me get in your way If you wanna try something new, that's okay, that's okay Make your own decisions, I'm not phased Just like Lil Uzi, baby girl, my love is rage And I can fully understand if you can't deal with it Every time I switch time frames, I text a ho like, I'm in your city She wanna fuck me, I wanna fuck her, yeah-yeah-yeah-yeah-yeah, she with it I'm off the lean, she off the Casamigos and she 'bout to get it Shawty fell in love with my swag, and now she takin' off my Rick Why your ho starin' so hard? I'm 'bout to take off with your bitch These niggas be talking like Phineas, but I'm like Ferb, I don't say shit Yeah, I heard the word, but before I repeat it, I'ma forget it Raf Simons swag, the pants pleated, the sweater is knitted Every time she pop out, yeah, yeah, they know that's my bitch Every time I pop out, it's a party, yeah, it's lit  My emo bitch like to slit her wrists, yeah, she's so dark She was moving too fast, I had to put that bitch in park She said, Boy, don't start with me, but I already started How you let your ex drive you crazy, and he ain't got no car? Yeah-ah If there's a Heaven, this bitch goin' to Hell This bitch a succubus, she suck me, yeah Yeah-ah, yeah"
Ken Carson,Singapore,"102 ContributorsTranslationsEnglishSingapore Lyrics (8-808) Huh, huh Huh, huh, huh, huh Huh, huh, huh, huh  Huh, huh, huh, huh, huh, huh, huh, huh Walk in Magic City with a hunnid, threw the whole thing I got rich before I turned 23, like LeBron James Copped the Bentley Mulsanne, yeah, just to switch lanes Copped the new SVJ, yeah, just to lose the brain I copped new jewels, this a Stephen Curry tennis chain Thirty-pointer every night, yeah, I'm in your bitch droppin' thirty-pointers Takin' flights, yeah, with your bitch, we in Singapore  I'm that type of nigga post your bitch, and you can't ignore Now when everybody see that bitch, they like, ""Oh, there go Ken Carson's whore"" Yeah, I get fly like a raven, but a nigga not in Baltimore When you talk to me, you talking to money because I'm a walking ATM Sold out tour, damn, they should've booked the stadium She like, ""Ain't you Ken Carson? Ain't you X?"" Hell yeah, that's him I got guns bigger than these niggas, I could never be scared of them He was talking real tough 'til a nigga shot that lead at him  I get higher than a UFO, bitch, I'm an alien I just got this ho from the Middle East, she Israelian I just made a hundred thousand, stuffed it in some raver pants Yeah, I just got a paper cut from countin' all this paper, man I come through, I'm dressed in all black like I was Satan, man I just make one call like Ken Nugent, ain't no savin' him And they like ""Lonely rich as fuck, I guess we should hate on him"" Huh, but I give no fucks, I'm overseas and I did Balenci' my jeans Huh, I called a brand new ho, she a freak, and she tryna eat my team Huh, Alex Moss just did my ring, I make her kiss my ring Yeah, she suck me clean, I make her spit just like Listerine Yeah, I pulled off in a Ghost, baby, like a mystery Huh, a real big dawg, you ain't seen nothin' as big as me They say they get as paid as me, but I agree to disagree Itchin', itchin' for that paper, huh, money come to me My trigger finger itchin' for a halo and I'm finna squeeze  Huh, huh, huh, huh, huh, huh, huh Walk in Magic City with a hunnid, threw the whole thing I got rich before I turned 23, like LeBron James Copped the Bentley Mulsanne, yeah, just to switch lanes Copped the new SVJ, yeah, just to lose the brain I copped new jewels, this a Stephen Curry tennis chain Thirty-pointer every night, yeah, I'm in your bitch droppin' thirty-pointers Takin' flights, yeah, with your bitch, we in Singapore"
Ken Carson,Yale,"39 ContributorsTranslationsPortugusYale Lyrics Uh, I keep your ho upstairs When she wanna fuck, I just tell her, ""Ring the bell"" Hit her from the back, she can't do nothing but yell And she smart as fuck, I got this bitch straight out of Yale Yeah, yeah, yeah, yeah And you know I'm high as fuck, my eyes just red, but they was just pale If it's up, then nigga, it's stuck, don't come outside, not even for air Got a Glocky on my hip and I'll blow this bitch just like a ref' Yeah, yeah, yeah, yeah Niggas thinking this shit sweet 'til one of they partners disappear Give a fuck 'bout your mama crying, give a fuck 'bout that lil' bitch shedding tears Gotta keep the fire by your side because the opps is always near Yeah, yeah, yeah, yeah Double cup, ho, I sip lean, know all these old niggas sip beer All I do is just lead and all these lil' niggas just cheer 2020 my vision, but I swear this shit ain't been clear Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah"
